Date,Yslow_Grade,PageSpeed_Grade,Onload_Times,Total_Size_bytes,Total_Requests,TTFB_ms,HTML_Size_bytes,Redirect_duration_ms,Connection_duration_ms,Backend_duration_ms,DOM_interactive_ms,DOM_content_loaded_ms,DOM_content_loaded_duration_ms,Onload_ms,Onload_duration_ms,Fully_loaded_ms,First_paint_ms,RUM_Speed_Index,First_contentful_paint_ms,Total_Visits,Mobile_Device,Desktop_Device,Monthly_Visits,Avg_Visit_Duration,Pages_Per_Visit,Bounce_Rate,URL,type_website
10-07-2019,60,76,2.068,1159050,57,388,8122,159,137,92,1606,1606,0,2068,2,2213,1351,1624,1351,137,46.83,53.17,2.795,2.52,4.05,53.82,convio.net,1
28-06-2019,77,63,1.421,4902209,58,279,3970,123,37,119,634,634,1,1421,3,1710,547,941,794,106,45.63,54.37,590054,1.12,3.4,71.92,cosplay.com,1
28-06-2019,52,53,5.104,8446064,441,456,57998,97,60,299,2567,2568,999,5104,17,8080,1736,1736,1736,100,29.28,70.72,452526,2.44,3.12,73.43,kidzworld.com,1
28-06-2019,43,40,10.239,3763813,293,926,23647,230,531,165,2382,2382,141,10239,3,11725,1775,2086,1775,118,66.24,33.76,7.392,3.2,2.46,61.08,komando.com,1
28-06-2019,57,61,3.015,3787547,152,163,23049,53,32,78,1280,1281,189,3015,26,3842,881,937,1297,103,49.42,50.58,490977,0.53,1.39,78.13,kuow.org,1
28-06-2019,50,44,3.924,2591608,209,162,33648,100,53,9,928,928,61,3924,1,4202,599,599,599,116,47.19,52.81,965618,1.28,1.53,79.55,ncronline.org,1
28-06-2019,40,41,6.637,2519704,299,1646,47693,46,54,1546,3444,3475,77,6637,88,7951,1917,2109,1917,132,37.74,62.26,22.37,3.48,2.49,54.22,news24.com,1
28-06-2019,52,56,1.993,2662173,153,72,7133,38,20,14,1197,1197,154,1993,5,2060,515,895,720,140,71.23,28.77,3.035,2.15,3.25,43.25,ninjakiwi.com,1
28-06-2019,48,46,5.117,5658630,158,1215,15359,338,26,851,2678,2678,136,5117,1,5706,1849,2018,1849,97,49.88,50.12,385047,1.46,2.06,65.76,noozhawk.com,1
28-06-2019,54,67,2.354,1521266,111,513,32127,172,267,74,1613,1614,33,2354,95,3831,1299,1423,1594,113,39.11,60.89,819984,1.4,2.11,69.17,officer.com,1
