domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
nrc.gov,390229,1049929,220273,2.690545807718032,111.39838146319212,390229
nccih.nih.gov,387993,494216,352213,1.2737755578064553,61.412115682499426,381284
ihs.gov,386875,1547500,200146,4.0,280.32366009693055,384639
fws.gov,385757,684299,316432,1.7739120741814147,82.57097343664535,379048
cfpub.epa.gov,379048,704425,143121,1.8584057955720648,178.14159156623964,382402
deadiversion.usdoj.gov,379048,790522,276180,2.0855458939237246,123.10324286106245,376812
aidsinfo.nih.gov,377930,621683,342150,1.644968644987167,144.2691768316884,368985
ai.fmcsa.dot.gov,372339,2076378,186729,5.576579407475446,321.05721399047644,375694
atsdr.cdc.gov,372339,572485,290715,1.5375370294274842,61.13816710041119,375694
fns.usda.gov,367867,802821,299660,2.1823675404426055,120.96036882895177,364512
es-tools.usps.com,366749,514342,133058,1.4024359984621635,50.14017488800242,361158
salud.nih.gov,364512,436073,339913,1.1963200114125188,22.766885589500482,367867
smokefree.gov,357803,1043221,290715,2.915629550339153,111.99700673275518,357803
oceanexplorer.noaa.gov,354449,579194,309724,1.6340686530361208,79.78549241216649,351095
grc.nasa.gov,353331,607148,275061,1.718354743852082,118.49995896199314,355567
usbr.gov,353331,1196405,218036,3.386074247660126,83.54743852082042,353331
foodsafety.gov,351095,484153,305251,1.3789800481351202,37.815243737449975,351095
peacecorps.gov,351095,1401024,275061,3.9904413335422038,211.77364815790597,355567
obamawhitehouse.archives.gov,346622,496452,256053,1.4322576178084483,83.28711103161369,345504
history.state.gov,345504,611620,299660,1.7702255256089654,104.94819741594887,348858
uk.usembassy.gov,345504,1049929,260526,3.0388331249421134,193.42714411410577,339913
consumidor.ftc.gov,344386,407001,311960,1.181816333997317,45.977243558100504,343268
therealcost.betobaccofree.hhs.gov,344386,377930,281770,1.0974023334281882,13.577912574843344,344386
